,index,id,context,response_original,source,answer,value,scenario_text,merged_text,cluster,centroid,umap_dim_0,umap_dim_1,umap_dim_2,umap_dim_3,umap_dim_4,umap_dim_5,umap_dim_6,umap_dim_7,umap_dim_8,umap_dim_9,umap_embedding_list,distance_from_centroid,umap_dim2_0,umap_dim2_1,cluster_name
0,900,0,10,Sorry I cannot help you,decision,,,Cameron is filling up his car at a gas station on his way home from work when a woman approaches him to ask for a ride to a nearby city. The city is in the same direction as his house but it’s 10 miles further than he planned to go.,is filling up car at a gas station on way home from work when a woman approaches to ask for a ride to a nearby city . The city is in the same direction as house but ’ s 10 miles further than planned to go . : Sorry can not help,2,"[9.229446   1.4782841  7.019116   5.678674   6.4941015  6.281975
 9.104017   5.2321305  1.2919747  0.13488972]",9.364402,1.46306,7.4215307,5.5298314,6.4497423,6.379099,9.533834,4.896834,1.8698238,0.019147627,"[9.364401817321777, 1.4630600214004517, 7.421530723571777, 5.529831409454346, 6.449742317199707, 6.379098892211914, 9.533834457397461, 4.896833896636963, 1.8698238134384155, 0.01914762705564499]",0.9265041531588984,8.95676,-4.1876087,Give information about possible public transportation and/or offer to pay for .
1,901,1,10,"If this woman approached me, I would offer to buy her a taxi.",decision,,,Cameron is filling up his car at a gas station on his way home from work when a woman approaches him to ask for a ride to a nearby city. The city is in the same direction as his house but it’s 10 miles further than he planned to go.,"is filling up car at a gas station on way home from work when a woman approaches to ask for a ride to a nearby city . The city is in the same direction as house but ’ s 10 miles further than planned to go . : If this woman approached , offer to buy a taxi .",2,"[9.229446   1.4782841  7.019116   5.678674   6.4941015  6.281975
 9.104017   5.2321305  1.2919747  0.13488972]",9.091118,1.3432838,7.030178,5.5839467,6.574339,6.199906,9.246336,5.358561,0.9864397,0.06651514,"[9.091117858886719, 1.343283772468567, 7.030178070068359, 5.583946704864502, 6.574338912963867, 6.199905872344971, 9.246335983276367, 5.358561038970947, 0.9864397048950195, 0.06651514023542404]",0.4403349750850317,9.188363,-2.9160364,Give information about possible public transportation and/or offer to pay for .
2,902,2,10,Apologize to her and let her know that I don't give rides to strangers.,decision,,,Cameron is filling up his car at a gas station on his way home from work when a woman approaches him to ask for a ride to a nearby city. The city is in the same direction as his house but it’s 10 miles further than he planned to go.,is filling up car at a gas station on way home from work when a woman approaches to ask for a ride to a nearby city . The city is in the same direction as house but ’ s 10 miles further than planned to go . : Apologize to and let know that do n't give rides to strangers .,0,"[ 9.632975    1.6222644   8.659681    6.531904    6.3875895   6.835614
  9.992569    3.485769    2.9123409  -0.55659986]",9.525734,1.5717996,8.891551,6.4525657,6.7059975,6.677798,9.735247,3.1596,3.060569,-0.22545247,"[9.525733947753906, 1.571799635887146, 8.89155101776123, 6.452565670013428, 6.705997467041016, 6.677797794342041, 9.735246658325195, 3.159600019454956, 3.0605690479278564, -0.2254524677991867]",0.7103705212689033,8.962986,-6.8460383,Tell the woman no
3,903,3,10,tell her to try someone else,decision,,,Cameron is filling up his car at a gas station on his way home from work when a woman approaches him to ask for a ride to a nearby city. The city is in the same direction as his house but it’s 10 miles further than he planned to go.,is filling up car at a gas station on way home from work when a woman approaches to ask for a ride to a nearby city . The city is in the same direction as house but ’ s 10 miles further than planned to go . : tell to try someone else,0,"[ 9.632975    1.6222644   8.659681    6.531904    6.3875895   6.835614
  9.992569    3.485769    2.9123409  -0.55659986]",9.58197,1.5181586,8.209918,6.081419,6.547918,6.505172,9.695903,4.5194798,2.1450503,-0.07909142,"[9.58197021484375, 1.5181585550308228, 8.209918022155762, 6.081418991088867, 6.54791784286499, 6.505171775817871, 9.695902824401855, 4.519479751586914, 2.145050287246704, -0.07909142225980759]",1.58961587745207,8.2997055,-5.0580916,Tell the woman no
4,904,4,10,Apologize and say I can not give them a ride.,decision,,,Cameron is filling up his car at a gas station on his way home from work when a woman approaches him to ask for a ride to a nearby city. The city is in the same direction as his house but it’s 10 miles further than he planned to go.,is filling up car at a gas station on way home from work when a woman approaches to ask for a ride to a nearby city . The city is in the same direction as house but ’ s 10 miles further than planned to go . : Apologize and say can not give a ride .,0,"[ 9.632975    1.6222644   8.659681    6.531904    6.3875895   6.835614
  9.992569    3.485769    2.9123409  -0.55659986]",9.589094,1.6228048,9.075645,6.4025497,6.6932974,6.6819644,9.865926,3.2208438,3.148667,-0.32573265,"[9.589094161987305, 1.6228047609329224, 9.075645446777344, 6.402549743652344, 6.693297386169434, 6.68196439743042, 9.865925788879395, 3.22084379196167, 3.148667097091675, -0.32573264837265015]",0.7100167266746101,8.722358,-6.9854884,Tell the woman no
5,905,5,10,Offer to call her a Lyft or with a few dollars.,decision,,,Cameron is filling up his car at a gas station on his way home from work when a woman approaches him to ask for a ride to a nearby city. The city is in the same direction as his house but it’s 10 miles further than he planned to go.,is filling up car at a gas station on way home from work when a woman approaches to ask for a ride to a nearby city . The city is in the same direction as house but ’ s 10 miles further than planned to go . : Offer to call a Lyft or with a few dollars .,2,"[9.229446   1.4782841  7.019116   5.678674   6.4941015  6.281975
 9.104017   5.2321305  1.2919747  0.13488972]",9.066143,1.5615969,6.7794886,5.9570947,6.7138424,6.104335,9.08996,5.2771688,1.1423776,0.3497435,"[9.066143035888672, 1.5615968704223633, 6.779488563537598, 5.957094669342041, 6.713842391967773, 6.104334831237793, 9.089960098266602, 5.2771687507629395, 1.1423776149749756, 0.34974348545074463]",0.564940432001693,9.58273,-2.9362395,Give information about possible public transportation and/or offer to pay for .
6,906,6,10,Tell her I am sorry but I cant give her a ride.,decision,,,Cameron is filling up his car at a gas station on his way home from work when a woman approaches him to ask for a ride to a nearby city. The city is in the same direction as his house but it’s 10 miles further than he planned to go.,is filling up car at a gas station on way home from work when a woman approaches to ask for a ride to a nearby city . The city is in the same direction as house but ’ s 10 miles further than planned to go . : Tell am sorry but cant give a ride .,0,"[ 9.632975    1.6222644   8.659681    6.531904    6.3875895   6.835614
  9.992569    3.485769    2.9123409  -0.55659986]",9.745319,1.6749467,9.076232,6.3776884,6.609899,6.6232953,9.89573,3.5343614,2.9871595,-0.2673783,"[9.745319366455078, 1.674946665763855, 9.076231956481934, 6.377688407897949, 6.609899044036865, 6.623295307159424, 9.895730018615723, 3.5343613624572754, 2.987159490585327, -0.2673783004283905]",0.6388900611020548,8.645315,-6.827703,Tell the woman no
7,907,7,10,I would say I can't and leave unless I really had time to help,decision,,,Cameron is filling up his car at a gas station on his way home from work when a woman approaches him to ask for a ride to a nearby city. The city is in the same direction as his house but it’s 10 miles further than he planned to go.,is filling up car at a gas station on way home from work when a woman approaches to ask for a ride to a nearby city . The city is in the same direction as house but ’ s 10 miles further than planned to go . : say ca n't and leave unless really had time to help,0,"[ 9.632975    1.6222644   8.659681    6.531904    6.3875895   6.835614
  9.992569    3.485769    2.9123409  -0.55659986]",9.693815,1.6886942,9.013722,6.3715672,6.488824,6.663245,10.046641,3.714557,2.8996983,-0.48204023,"[9.693815231323242, 1.6886942386627197, 9.01372241973877, 6.371567249298096, 6.488823890686035, 6.66324520111084, 10.04664134979248, 3.714556932449341, 2.899698257446289, -0.4820402264595032]",0.5100134634510075,8.312661,-6.896777,Tell the woman no
8,908,8,10,I would ask for gas money in return.,decision,,,Cameron is filling up his car at a gas station on his way home from work when a woman approaches him to ask for a ride to a nearby city. The city is in the same direction as his house but it’s 10 miles further than he planned to go.,is filling up car at a gas station on way home from work when a woman approaches to ask for a ride to a nearby city . The city is in the same direction as house but ’ s 10 miles further than planned to go . : ask for gas money in return .,2,"[9.229446   1.4782841  7.019116   5.678674   6.4941015  6.281975
 9.104017   5.2321305  1.2919747  0.13488972]",8.9747305,1.5854982,6.4608936,5.7081847,6.7951407,6.0851965,8.026588,5.033392,1.1625736,0.5518996,"[8.974730491638184, 1.5854982137680054, 6.460893630981445, 5.708184719085693, 6.795140743255615, 6.085196495056152, 8.026588439941406, 5.033391952514648, 1.1625735759735107, 0.5518996119499207]",1.381736638571596,10.942734,-2.9970534,Give information about possible public transportation and/or offer to pay for .
9,909,9,10,I would say that I have other things that I need to so and that I am sorry that I could not help. ,decision,,,Cameron is filling up his car at a gas station on his way home from work when a woman approaches him to ask for a ride to a nearby city. The city is in the same direction as his house but it’s 10 miles further than he planned to go.,is filling up car at a gas station on way home from work when a woman approaches to ask for a ride to a nearby city . The city is in the same direction as house but ’ s 10 miles further than planned to go . : say that have other things that need to so and that am sorry that not help .,0,"[ 9.632975    1.6222644   8.659681    6.531904    6.3875895   6.835614
  9.992569    3.485769    2.9123409  -0.55659986]",9.716754,1.7006053,8.852983,6.407673,6.5678253,6.5945005,9.946661,3.8016415,2.8093395,-0.36650804,"[9.716753959655762, 1.7006052732467651, 8.852983474731445, 6.407672882080078, 6.5678253173828125, 6.594500541687012, 9.946660995483398, 3.8016414642333984, 2.8093395233154297, -0.36650803685188293]",0.5524520777266784,8.606477,-6.4430213,Tell the woman no
