,index,id,context,response_original,source,answer,value,scenario_text,merged_text,umap_dim_0,umap_dim_1,umap_dim_2,umap_dim_3,umap_dim_4,umap_dim_5,umap_dim_6,umap_dim_7,umap_dim_8,umap_dim_9,umap_embedding_list,umap_dim2_0,umap_dim2_1,cluster,centroid,distance_from_centroid,cluster_name
0,1500,1,16,Hike back to where you started or find a signal,decision,,,Eva and Todd are on a mountain climbing trip in Arizona. In the middle of their longest day Todd slips and gets his arm trapped in a crevice. Eva tries calling 911 but she has no service. The sun is beating down on them and Eva is worried that she might be getting dehydrated as she unsuccessfully tries to get his arm out of the rock.,and Todd are on a mountain climbing trip in Arizona . In the middle of longest day Todd slips and gets arm trapped in a crevice . tries calling 911 but has no service . The sun is beating down on and is worried that might be getting dehydrated as unsuccessfully tries to get arm out of the rock . : Hike back to where started or find a signal,11.514355,-4.5436487,8.133884,10.665281,8.890722,1.6858395,3.7442348,0.75656253,3.684228,10.340198,"[11.514354705810547, -4.543648719787598, 8.13388442993164, 10.665281295776367, 8.890722274780273, 1.6858395338058472, 3.744234800338745, 0.7565625309944153, 3.68422794342041, 10.340197563171387]",21.304873,0.20167497,3,"[11.617309  -4.480403   7.897849  10.130671   8.965708   1.5609821
  3.8430648  0.6337025  3.7600954 10.424328 ]",0.6442272845892278,"I find water for Todd, shelter him from the sun and get help or find a signal"
1,1501,2,16,"Calling 911 works, unless you have no battery, so I would keep calling until I got an answer. ",decision,,,Eva and Todd are on a mountain climbing trip in Arizona. In the middle of their longest day Todd slips and gets his arm trapped in a crevice. Eva tries calling 911 but she has no service. The sun is beating down on them and Eva is worried that she might be getting dehydrated as she unsuccessfully tries to get his arm out of the rock.,"and Todd are on a mountain climbing trip in Arizona . In the middle of longest day Todd slips and gets arm trapped in a crevice . tries calling 911 but has no service . The sun is beating down on and is worried that might be getting dehydrated as unsuccessfully tries to get arm out of the rock . : Calling 911 works , unless have no battery , so keep calling until got an answer .",11.574141,-4.4198256,7.8544545,9.8656435,8.821855,1.8869646,3.8008819,0.5280801,3.8291428,10.591239,"[11.574140548706055, -4.419825553894043, 7.854454517364502, 9.865643501281738, 8.821854591369629, 1.8869645595550537, 3.800881862640381, 0.5280801057815552, 3.8291428089141846, 10.591238975524902]",20.464544,-0.021050066,3,"[11.617309  -4.480403   7.897849  10.130671   8.965708   1.5609821
  3.8430648  0.6337025  3.7600954 10.424328 ]",0.5001761601062665,"I find water for Todd, shelter him from the sun and get help or find a signal"
2,1502,3,16,Give my shirt to Todd for shade and walk to get help.,decision,,,Eva and Todd are on a mountain climbing trip in Arizona. In the middle of their longest day Todd slips and gets his arm trapped in a crevice. Eva tries calling 911 but she has no service. The sun is beating down on them and Eva is worried that she might be getting dehydrated as she unsuccessfully tries to get his arm out of the rock.,and Todd are on a mountain climbing trip in Arizona . In the middle of longest day Todd slips and gets arm trapped in a crevice . tries calling 911 but has no service . The sun is beating down on and is worried that might be getting dehydrated as unsuccessfully tries to get arm out of the rock . : Give shirt to Todd for shade and walk to get help .,12.307889,-3.90886,6.4615226,7.7545238,9.369662,1.3350078,5.638513,0.72957426,3.2880514,10.214117,"[12.307888984680176, -3.908859968185425, 6.461522579193115, 7.754523754119873, 9.369662284851074, 1.3350077867507935, 5.638513088226318, 0.7295742630958557, 3.2880513668060303, 10.214117050170898]",17.413364,2.5926363,5,"[12.603426  -3.9034681  6.428047   7.427747   9.484195   1.0465257
  6.233142   0.8722348  3.4041314  9.780799 ]",0.9310151556946187,Try to help Todd remove his arm.
3,1503,4,16,take my shirt off to help shield from the sun,decision,,,Eva and Todd are on a mountain climbing trip in Arizona. In the middle of their longest day Todd slips and gets his arm trapped in a crevice. Eva tries calling 911 but she has no service. The sun is beating down on them and Eva is worried that she might be getting dehydrated as she unsuccessfully tries to get his arm out of the rock.,and Todd are on a mountain climbing trip in Arizona . In the middle of longest day Todd slips and gets arm trapped in a crevice . tries calling 911 but has no service . The sun is beating down on and is worried that might be getting dehydrated as unsuccessfully tries to get arm out of the rock . : take shirt off to help shield from the sun,12.212178,-3.816573,6.598247,8.02166,9.272467,1.6516999,5.7388654,0.7607623,3.306392,10.076802,"[12.212178230285645, -3.816572904586792, 6.598247051239014, 8.021659851074219, 9.272466659545898, 1.6516999006271362, 5.738865375518799, 0.7607622742652893, 3.306391954421997, 10.076802253723145]",17.353437,2.0766804,5,"[12.603426  -3.9034681  6.428047   7.427747   9.484195   1.0465257
  6.233142   0.8722348  3.4041314  9.780799 ]",1.143371021366752,Try to help Todd remove his arm.
4,1504,5,16,Shade Todd the best I can and quickly try to find service.,decision,,,Eva and Todd are on a mountain climbing trip in Arizona. In the middle of their longest day Todd slips and gets his arm trapped in a crevice. Eva tries calling 911 but she has no service. The sun is beating down on them and Eva is worried that she might be getting dehydrated as she unsuccessfully tries to get his arm out of the rock.,and Todd are on a mountain climbing trip in Arizona . In the middle of longest day Todd slips and gets arm trapped in a crevice . tries calling 911 but has no service . The sun is beating down on and is worried that might be getting dehydrated as unsuccessfully tries to get arm out of the rock . : Shade Todd the best can and quickly try to find service .,12.405835,-3.8933313,6.3232913,7.519468,9.35821,1.390269,6.1358047,0.85817224,3.1723673,10.021474,"[12.405835151672363, -3.893331289291382, 6.323291301727295, 7.519467830657959, 9.358209609985352, 1.3902690410614014, 6.135804653167725, 0.8581722378730774, 3.1723673343658447, 10.02147388458252]",16.813543,2.8436344,5,"[12.603426  -3.9034681  6.428047   7.427747   9.484195   1.0465257
  6.233142   0.8722348  3.4041314  9.780799 ]",0.5602450297054099,Try to help Todd remove his arm.
5,1505,6,16,"I would go to find water, leaving a trail behind me to get back to him.",decision,,,Eva and Todd are on a mountain climbing trip in Arizona. In the middle of their longest day Todd slips and gets his arm trapped in a crevice. Eva tries calling 911 but she has no service. The sun is beating down on them and Eva is worried that she might be getting dehydrated as she unsuccessfully tries to get his arm out of the rock.,"and Todd are on a mountain climbing trip in Arizona . In the middle of longest day Todd slips and gets arm trapped in a crevice . tries calling 911 but has no service . The sun is beating down on and is worried that might be getting dehydrated as unsuccessfully tries to get arm out of the rock . : go to find water , leaving a trail behind to get back to .",12.398201,-3.5843637,6.84249,8.4517,9.107533,1.2440946,6.170436,1.3514264,3.9673226,8.942335,"[12.398200988769531, -3.5843636989593506, 6.842490196228027, 8.451700210571289, 9.10753345489502, 1.2440946102142334, 6.170435905456543, 1.351426362991333, 3.967322587966919, 8.94233512878418]",16.397434,0.9986001,0,"[12.164882  -3.7678187  7.1503067  8.756685   9.13387    1.7381575
  5.5878057  0.8164144  3.8933697  9.622965 ]",1.2708555455095942,rest to save energy and try later
6,1506,7,16,Try to go get help or find a spot where I have service and then come back for Todd.,decision,,,Eva and Todd are on a mountain climbing trip in Arizona. In the middle of their longest day Todd slips and gets his arm trapped in a crevice. Eva tries calling 911 but she has no service. The sun is beating down on them and Eva is worried that she might be getting dehydrated as she unsuccessfully tries to get his arm out of the rock.,and Todd are on a mountain climbing trip in Arizona . In the middle of longest day Todd slips and gets arm trapped in a crevice . tries calling 911 but has no service . The sun is beating down on and is worried that might be getting dehydrated as unsuccessfully tries to get arm out of the rock . : Try to go get help or find a spot where have service and then come back for Todd .,11.88072,-4.3319755,7.623105,9.595485,9.07158,1.4947463,4.3080425,0.5813478,3.902017,10.268758,"[11.880720138549805, -4.33197546005249, 7.623105049133301, 9.595484733581543, 9.071579933166504, 1.4947463274002075, 4.308042526245117, 0.5813478231430054, 3.902017116546631, 10.268757820129395]",19.789227,0.95361835,3,"[11.617309  -4.480403   7.897849  10.130671   8.965708   1.5609821
  3.8430648  0.6337025  3.7600954 10.424328 ]",0.855692534419736,"I find water for Todd, shelter him from the sun and get help or find a signal"
7,1507,8,16,shelter him in place and leave to find help,decision,,,Eva and Todd are on a mountain climbing trip in Arizona. In the middle of their longest day Todd slips and gets his arm trapped in a crevice. Eva tries calling 911 but she has no service. The sun is beating down on them and Eva is worried that she might be getting dehydrated as she unsuccessfully tries to get his arm out of the rock.,and Todd are on a mountain climbing trip in Arizona . In the middle of longest day Todd slips and gets arm trapped in a crevice . tries calling 911 but has no service . The sun is beating down on and is worried that might be getting dehydrated as unsuccessfully tries to get arm out of the rock . : shelter in place and leave to find help,12.372822,-3.8139632,6.4430933,7.7822165,10.022114,-0.06523163,4.3760777,0.6037498,3.4711578,10.463778,"[12.372821807861328, -3.8139631748199463, 6.443093299865723, 7.782216548919678, 10.022113800048828, -0.06523162871599197, 4.376077651977539, 0.6037498116493225, 3.4711577892303467, 10.463777542114258]",19.032816,4.150352,4,"[12.593647   -3.7740304   6.1005154   7.212216   10.0513735  -0.4116063
  4.929272    0.78294903  3.0422685  10.161323  ]",1.1077056765381499,Leave him and get help.
8,1508,9,16,I would work on freeing his arm.,decision,,,Eva and Todd are on a mountain climbing trip in Arizona. In the middle of their longest day Todd slips and gets his arm trapped in a crevice. Eva tries calling 911 but she has no service. The sun is beating down on them and Eva is worried that she might be getting dehydrated as she unsuccessfully tries to get his arm out of the rock.,and Todd are on a mountain climbing trip in Arizona . In the middle of longest day Todd slips and gets arm trapped in a crevice . tries calling 911 but has no service . The sun is beating down on and is worried that might be getting dehydrated as unsuccessfully tries to get arm out of the rock . : work on freeing arm .,12.69821,-3.9525447,6.1475654,7.036625,9.549053,0.8595342,6.4305553,0.9179891,3.19344,9.837918,"[12.698209762573242, -3.952544689178467, 6.1475653648376465, 7.036624908447266, 9.549053192138672, 0.8595342040061951, 6.43055534362793, 0.9179890751838684, 3.1934399604797363, 9.837918281555176]",16.230133,3.7107599,5,"[12.603426  -3.9034681  6.428047   7.427747   9.484195   1.0465257
  6.233142   0.8722348  3.4041314  9.780799 ]",0.6090404816248881,Try to help Todd remove his arm.
9,1509,10,16,I would go to get help as fast as I could. Being there with them would not help and I would have to go fast. ,decision,,,Eva and Todd are on a mountain climbing trip in Arizona. In the middle of their longest day Todd slips and gets his arm trapped in a crevice. Eva tries calling 911 but she has no service. The sun is beating down on them and Eva is worried that she might be getting dehydrated as she unsuccessfully tries to get his arm out of the rock.,and Todd are on a mountain climbing trip in Arizona . In the middle of longest day Todd slips and gets arm trapped in a crevice . tries calling 911 but has no service . The sun is beating down on and is worried that might be getting dehydrated as unsuccessfully tries to get arm out of the rock . : go to get help as fast as . Being there with not help and have to go fast .,12.236808,-3.9996564,6.86221,8.362623,9.453732,0.87674654,4.824998,0.58204025,3.5816274,10.207535,"[12.236807823181152, -3.9996564388275146, 6.862209796905518, 8.36262321472168, 9.453731536865234, 0.8767465353012085, 4.824997901916504, 0.5820402503013611, 3.581627368927002, 10.207534790039062]",18.692448,2.612561,1,"[12.318512   -4.0672317   6.628595    7.923466    9.525021    0.87027323
  4.9588976   0.5575094   3.5353289  10.448131  ]",0.5851167470524167,mark the location and leave 
