,index,id,context,response_original,source,answer,value,scenario_text,merged_text,cluster,centroid,umap_dim_0,umap_dim_1,umap_dim_2,umap_dim_3,umap_dim_4,umap_dim_5,umap_dim_6,umap_dim_7,umap_dim_8,umap_dim_9,umap_embedding_list,distance_from_centroid,umap_dim2_0,umap_dim2_1,cluster_name
0,300,1,4,Ask for a guest pass,decision,,,"Liz decides to go to the gym on her lunch break to play a game of racquetball with a friend. When she gets to the gym, she realizes that her membership has expired since she last went. Since she left her phone at her desk in the office, she has no way of letting her friend know.","decides to go to the gym on lunch break to play a game of racquetball with a friend . When gets to the gym , realizes that membership has expired since last went . Since left phone at desk in the office , has no way of letting friend know . : Ask for a guest pass",15,"[ 4.836506    0.71307695  2.8672092  10.389207    4.4600096   1.940302
 10.677175    8.37382     7.8316054   6.8814363 ]",4.8681493,0.65828735,2.6680603,10.567441,4.5137496,2.115945,10.499081,8.301151,7.7281623,6.96044,"[4.868149280548096, 0.6582873463630676, 2.668060302734375, 10.5674409866333, 4.513749599456787, 2.1159451007843018, 10.499080657958984, 8.301151275634766, 7.7281622886657715, 6.960440158843994]",0.4038683947128813,7.265021,6.450648,Ask to be let in for just today .
1,301,2,4,I would pay for a new membership.,decision,,,"Liz decides to go to the gym on her lunch break to play a game of racquetball with a friend. When she gets to the gym, she realizes that her membership has expired since she last went. Since she left her phone at her desk in the office, she has no way of letting her friend know.","decides to go to the gym on lunch break to play a game of racquetball with a friend . When gets to the gym , realizes that membership has expired since last went . Since left phone at desk in the office , has no way of letting friend know . : pay for a new membership .",11,"[5.017481   0.27915546 2.80362    9.914402   4.935126   2.5361195
 9.320573   7.55787    6.837874   6.2912803 ]",4.8850703,0.24378856,2.765172,9.980421,4.919396,2.4622402,9.384759,7.584319,6.7553744,6.2502174,"[4.885070323944092, 0.24378855526447296, 2.765172004699707, 9.98042106628418, 4.919395923614502, 2.462240219116211, 9.384758949279785, 7.584319114685059, 6.755374431610107, 6.250217437744141]",0.20889578654212568,8.126659,8.682865,buy a new membership .
2,302,3,4,Renew my membership.,decision,,,"Liz decides to go to the gym on her lunch break to play a game of racquetball with a friend. When she gets to the gym, she realizes that her membership has expired since she last went. Since she left her phone at her desk in the office, she has no way of letting her friend know.","decides to go to the gym on lunch break to play a game of racquetball with a friend . When gets to the gym , realizes that membership has expired since last went . Since left phone at desk in the office , has no way of letting friend know . : Renew membership .",1,"[ 6.586403  -1.3913178  5.0054526  7.559022   5.8940454  4.245381
  4.8418403  3.330255   4.1735682  2.2594342]",6.5573635,-1.2930099,5.059426,7.5318527,5.8751245,4.234293,4.750639,3.26941,4.056961,2.2342644,"[6.557363510131836, -1.293009877204895, 5.0594258308410645, 7.531852722167969, 5.875124454498291, 4.234292984008789, 4.750638961791992, 3.2694098949432373, 4.0569610595703125, 2.234264373779297]",0.20221405401865397,9.28693,15.238202,renew membership . If that was n't possible wait for friend at the desk or the door . If had already entered have called to the desk or ask someone going into the gym to have friend come outside .
3,303,4,4,leave a message,decision,,,"Liz decides to go to the gym on her lunch break to play a game of racquetball with a friend. When she gets to the gym, she realizes that her membership has expired since she last went. Since she left her phone at her desk in the office, she has no way of letting her friend know.","decides to go to the gym on lunch break to play a game of racquetball with a friend . When gets to the gym , realizes that membership has expired since last went . Since left phone at desk in the office , has no way of letting friend know . : leave a message",6,"[ 4.8508782  0.5882778  2.5294337 10.935869   3.9250164  1.9009178
 11.201347   9.100323   8.278493   7.571704 ]",4.8824506,0.5189292,2.3582075,11.050285,3.5502455,1.916083,11.171109,9.14229,8.40286,7.745682,"[4.882450580596924, 0.5189291834831238, 2.3582074642181396, 11.050285339355469, 3.550245523452759, 1.9160829782485962, 11.171109199523926, 9.142290115356445, 8.402859687805176, 7.7456817626953125]",0.48714445047687904,5.7457876,5.6280866,Leave a message at the front desk
4,304,5,4,Ask if the employee can let my friend know I will not be making it.,decision,,,"Liz decides to go to the gym on her lunch break to play a game of racquetball with a friend. When she gets to the gym, she realizes that her membership has expired since she last went. Since she left her phone at her desk in the office, she has no way of letting her friend know.","decides to go to the gym on lunch break to play a game of racquetball with a friend . When gets to the gym , realizes that membership has expired since last went . Since left phone at desk in the office , has no way of letting friend know . : Ask if the employee can let friend know will not be making .",6,"[ 4.8508782  0.5882778  2.5294337 10.935869   3.9250164  1.9009178
 11.201347   9.100323   8.278493   7.571704 ]",4.5760903,0.4338829,2.5294158,10.811358,3.6878917,1.8301109,11.466476,9.088772,8.271754,7.4199533,"[4.576090335845947, 0.4338828921318054, 2.5294158458709717, 10.811358451843262, 3.687891721725464, 1.8301109075546265, 11.466476440429688, 9.08877182006836, 8.271754264831543, 7.419953346252441]",0.5192218621828786,5.5893393,6.2994385,Leave a message at the front desk
5,305,6,4,I would ask to borrow the desk phone or go back to the office for my own phone,decision,,,"Liz decides to go to the gym on her lunch break to play a game of racquetball with a friend. When she gets to the gym, she realizes that her membership has expired since she last went. Since she left her phone at her desk in the office, she has no way of letting her friend know.","decides to go to the gym on lunch break to play a game of racquetball with a friend . When gets to the gym , realizes that membership has expired since last went . Since left phone at desk in the office , has no way of letting friend know . : ask to borrow the desk phone or go back to the office for own phone",13,"[ 3.3549595  -0.04314661  2.3365517  10.311445    1.9332546   2.2072196
 13.218176    8.178935    8.390699    7.701807  ]",3.2994113,-0.20063195,2.2572649,10.277061,1.9624262,2.3260458,13.173862,8.059151,8.370414,7.7069383,"[3.2994112968444824, -0.20063194632530212, 2.2572648525238037, 10.277061462402344, 1.9624261856079102, 2.3260457515716553, 13.17386245727539, 8.059150695800781, 8.370413780212402, 7.70693826675415]",0.2589909618047256,2.7554595,7.333318,borrow a phone
6,306,7,4,Renew my membership.,decision,,,"Liz decides to go to the gym on her lunch break to play a game of racquetball with a friend. When she gets to the gym, she realizes that her membership has expired since she last went. Since she left her phone at her desk in the office, she has no way of letting her friend know.","decides to go to the gym on lunch break to play a game of racquetball with a friend . When gets to the gym , realizes that membership has expired since last went . Since left phone at desk in the office , has no way of letting friend know . : Renew membership .",1,"[ 6.586403  -1.3913178  5.0054526  7.559022   5.8940454  4.245381
  4.8418403  3.330255   4.1735682  2.2594342]",6.58122,-1.3136795,5.0618424,7.5388026,5.855164,4.2356963,4.7890744,3.2593517,4.0862856,2.2498412,"[6.5812201499938965, -1.3136794567108154, 5.061842441558838, 7.538802623748779, 5.855164051055908, 4.235696315765381, 4.789074420928955, 3.2593517303466797, 4.086285591125488, 2.2498412132263184]",0.16361711078410085,9.259142,15.196902,renew membership . If that was n't possible wait for friend at the desk or the door . If had already entered have called to the desk or ask someone going into the gym to have friend come outside .
7,307,8,4,I would leave a note for her at the reception desk and describe her to the person working there so they could give her my note,decision,,,"Liz decides to go to the gym on her lunch break to play a game of racquetball with a friend. When she gets to the gym, she realizes that her membership has expired since she last went. Since she left her phone at her desk in the office, she has no way of letting her friend know.","decides to go to the gym on lunch break to play a game of racquetball with a friend . When gets to the gym , realizes that membership has expired since last went . Since left phone at desk in the office , has no way of letting friend know . : leave a note for at the reception desk and describe to the person working there so give note",0,"[ 4.155176   1.5446993  2.7850928 10.768958   3.5203977  1.6696553
 12.179738   9.590703   8.416658   7.68982  ]",4.3446174,1.2325774,2.6147373,10.84616,3.4513285,1.6693624,11.986342,9.669477,8.419056,7.7161503,"[4.3446173667907715, 1.2325774431228638, 2.6147372722625732, 10.846159934997559, 3.4513285160064697, 1.6693624258041382, 11.986342430114746, 9.669477462768555, 8.419055938720703, 7.716150283813477]",0.46622540051370576,4.8095,3.9181786,email
8,308,9,4,I would renew my membership or pay a daily fee to go play.,decision,,,"Liz decides to go to the gym on her lunch break to play a game of racquetball with a friend. When she gets to the gym, she realizes that her membership has expired since she last went. Since she left her phone at her desk in the office, she has no way of letting her friend know.","decides to go to the gym on lunch break to play a game of racquetball with a friend . When gets to the gym , realizes that membership has expired since last went . Since left phone at desk in the office , has no way of letting friend know . : renew membership or pay a daily fee to go play .",1,"[ 6.586403  -1.3913178  5.0054526  7.559022   5.8940454  4.245381
  4.8418403  3.330255   4.1735682  2.2594342]",6.572,-1.453139,4.9894786,7.6722617,5.8657875,4.3076496,4.9133377,3.3797596,4.224278,2.2726603,"[6.572000026702881, -1.4531389474868774, 4.989478588104248, 7.672261714935303, 5.865787506103516, 4.307649612426758, 4.913337707519531, 3.3797595500946045, 4.224277973175049, 2.272660255432129]",0.179144054930943,8.891056,15.026005,renew membership . If that was n't possible wait for friend at the desk or the door . If had already entered have called to the desk or ask someone going into the gym to have friend come outside .
9,309,10,4,I would wait for them to get there and tell them about it. I am sure that they would understand,decision,,,"Liz decides to go to the gym on her lunch break to play a game of racquetball with a friend. When she gets to the gym, she realizes that her membership has expired since she last went. Since she left her phone at her desk in the office, she has no way of letting her friend know.","decides to go to the gym on lunch break to play a game of racquetball with a friend . When gets to the gym , realizes that membership has expired since last went . Since left phone at desk in the office , has no way of letting friend know . : wait for to get there and tell about . am sure that understand",4,"[ 5.3091965  1.3131034  2.9715261 11.1829     4.0802937  1.6755038
 11.472183   9.170716   8.6308155  7.8262205]",5.3927417,1.3910754,3.1197488,11.246179,4.019695,1.5005889,11.685844,9.272945,8.787321,7.8236613,"[5.392741680145264, 1.3910753726959229, 3.119748830795288, 11.24617862701416, 4.019694805145264, 1.5005888938903809, 11.685844421386719, 9.272945404052734, 8.787321090698242, 7.8236613273620605]",0.3923052733938532,5.9921665,4.040237,wait and tell friend the situation
