,index,id,context,response_original,source,answer,value,scenario_text,merged_text,umap_dim_0,umap_dim_1,umap_dim_2,umap_dim_3,umap_dim_4,umap_dim_5,umap_dim_6,umap_dim_7,umap_dim_8,umap_dim_9,umap_embedding_list,umap_dim2_0,umap_dim2_1,cluster,centroid,distance_from_centroid,cluster_name
0,2650,106,12,tell truth,pg,1.0,100.0,Carl is a chef on his way to a food festival in Chicago. He is in line to go through security at the airport when he realizes he accidentally brought a large knife in his bag.,is a chef on way to a food festival in Chicago . is in line to go through security at the airport when realizes accidentally brought a large knife in bag . : tell truth,3.316368,3.7319353,0.5670963,2.5589836,3.875293,4.3302546,6.1821775,6.2744694,4.596409,3.6295204,"[3.3163681030273438, 3.7319352626800537, 0.5670962929725647, 2.558983564376831, 3.875293016433716, 4.330254554748535, 6.182177543640137, 6.274469375610352, 4.596408843994141, 3.6295204162597656]",0.033310104,5.8374157,0,"[3.4345775 3.6382742 0.5724715 2.619522  3.8272233 4.151434  6.2742105
 6.2972293 4.638429  3.8070111]",,tell truth
1,2651,107,12,let the security know before they search him,pg,1.0,100.0,Carl is a chef on his way to a food festival in Chicago. He is in line to go through security at the airport when he realizes he accidentally brought a large knife in his bag.,is a chef on way to a food festival in Chicago . is in line to go through security at the airport when realizes accidentally brought a large knife in bag . : let the security know before search,2.5382657,2.6517434,-1.5231811,2.9464157,3.7818441,5.081695,5.371848,5.189416,6.5477104,3.0317912,"[2.5382657051086426, 2.6517434120178223, -1.5231810808181763, 2.946415662765503, 3.781844139099121, 5.081695079803467, 5.371848106384277, 5.18941593170166, 6.547710418701172, 3.0317912101745605]",3.8850205,3.6456,1,"[ 2.5461082  2.5694704 -1.3698428  2.7928452  3.7458696  5.177836
  5.406934   5.2910075  6.363941   2.959103 ]",,let the security know before they search him
2,2652,114,12,Tell security he accidentally brought a knife,pg,1.0,100.0,Carl is a chef on his way to a food festival in Chicago. He is in line to go through security at the airport when he realizes he accidentally brought a large knife in his bag.,is a chef on way to a food festival in Chicago . is in line to go through security at the airport when realizes accidentally brought a large knife in bag . : Tell security accidentally brought a knife,2.5515616,2.545204,-1.2850966,2.771978,3.8717039,5.304477,5.4515133,5.423143,6.237033,2.9818335,"[2.5515615940093994, 2.545203924179077, -1.2850966453552246, 2.7719779014587402, 3.871703863143921, 5.304477214813232, 5.451513290405273, 5.423142910003662, 6.237032890319824, 2.9818334579467773]",3.9386554,3.879797,1,"[ 2.5461082  2.5694704 -1.3698428  2.7928452  3.7458696  5.177836
  5.406934   5.2910075  6.363941   2.959103 ]",,let the security know before they search him
3,2653,119,12,alert the agent and tell them about the knife.,pg,1.0,96.3333333333333,Carl is a chef on his way to a food festival in Chicago. He is in line to go through security at the airport when he realizes he accidentally brought a large knife in his bag.,is a chef on way to a food festival in Chicago . is in line to go through security at the airport when realizes accidentally brought a large knife in bag . : alert the agent and tell about the knife .,2.5903738,2.5429602,-1.0845,2.73669,3.7644744,5.3314037,5.5529685,5.476043,6.10075,2.9666872,"[2.5903737545013428, 2.5429601669311523, -1.0844999551773071, 2.736690044403076, 3.764474391937256, 5.331403732299805, 5.552968502044678, 5.476043224334717, 6.100749969482422, 2.9666872024536133]",3.4138973,4.0200963,1,"[ 2.5461082  2.5694704 -1.3698428  2.7928452  3.7458696  5.177836
  5.406934   5.2910075  6.363941   2.959103 ]",,let the security know before they search him
4,2654,127,12,warn them about the chef's knife,pg,1.0,100.0,Carl is a chef on his way to a food festival in Chicago. He is in line to go through security at the airport when he realizes he accidentally brought a large knife in his bag.,is a chef on way to a food festival in Chicago . is in line to go through security at the airport when realizes accidentally brought a large knife in bag . : warn about the chef 's knife,2.5718343,2.5258162,-1.0668955,2.717053,3.7267253,5.318792,5.5603046,5.500652,6.082506,2.9336698,"[2.5718343257904053, 2.5258162021636963, -1.0668954849243164, 2.717052936553955, 3.7267253398895264, 5.31879186630249, 5.560304641723633, 5.500651836395264, 6.08250617980957, 2.9336698055267334]",3.4817052,4.0641,1,"[ 2.5461082  2.5694704 -1.3698428  2.7928452  3.7458696  5.177836
  5.406934   5.2910075  6.363941   2.959103 ]",,let the security know before they search him
5,2655,129,12,Tell the TSA agent what he did and ask for assistance.,pg,1.0,81.6666666666667,Carl is a chef on his way to a food festival in Chicago. He is in line to go through security at the airport when he realizes he accidentally brought a large knife in his bag.,is a chef on way to a food festival in Chicago . is in line to go through security at the airport when realizes accidentally brought a large knife in bag . : Tell the TSA agent what did and ask for assistance .,2.589767,2.4450667,-1.4412607,2.6044765,3.4499426,4.975406,5.3808384,5.108805,6.409879,2.9136074,"[2.5897669792175293, 2.4450666904449463, -1.4412606954574585, 2.6044764518737793, 3.4499425888061523, 4.975406169891357, 5.380838394165039, 5.108805179595947, 6.409879207611084, 2.913607358932495]",3.7397327,4.2583632,1,"[ 2.5461082  2.5694704 -1.3698428  2.7928452  3.7458696  5.177836
  5.406934   5.2910075  6.363941   2.959103 ]",,let the security know before they search him
6,2656,130,12,Carl could immediately tell TSA that he accidentally brought his knife for the food festival,pg,1.0,93.6666666666667,Carl is a chef on his way to a food festival in Chicago. He is in line to go through security at the airport when he realizes he accidentally brought a large knife in his bag.,is a chef on way to a food festival in Chicago . is in line to go through security at the airport when realizes accidentally brought a large knife in bag . : immediately tell TSA that accidentally brought knife for the food festival,2.6449716,2.5064986,-1.5121986,2.739824,3.6438081,5.0470543,5.3207917,5.1062646,6.4357796,3.0151331,"[2.6449716091156006, 2.5064985752105713, -1.512198567390442, 2.739824056625366, 3.643808126449585, 5.047054290771484, 5.320791721343994, 5.106264591217041, 6.435779571533203, 3.0151331424713135]",3.8587976,3.8135571,1,"[ 2.5461082  2.5694704 -1.3698428  2.7928452  3.7458696  5.177836
  5.406934   5.2910075  6.363941   2.959103 ]",,let the security know before they search him
7,2657,131,12,Tell security about the knife,pg,1.0,92.0,Carl is a chef on his way to a food festival in Chicago. He is in line to go through security at the airport when he realizes he accidentally brought a large knife in his bag.,is a chef on way to a food festival in Chicago . is in line to go through security at the airport when realizes accidentally brought a large knife in bag . : Tell security about the knife,2.5190604,2.4891896,-1.5428661,2.7514777,3.7754717,5.1840677,5.313069,5.224394,6.463596,2.9415846,"[2.5190603733062744, 2.489189624786377, -1.5428661108016968, 2.7514777183532715, 3.7754716873168945, 5.184067726135254, 5.313068866729736, 5.224393844604492, 6.463595867156982, 2.941584587097168]",4.110304,3.856594,1,"[ 2.5461082  2.5694704 -1.3698428  2.7928452  3.7458696  5.177836
  5.406934   5.2910075  6.363941   2.959103 ]",,let the security know before they search him
8,2658,133,12,tell the cops,pg,1.0,38.6666666666667,Carl is a chef on his way to a food festival in Chicago. He is in line to go through security at the airport when he realizes he accidentally brought a large knife in his bag.,is a chef on way to a food festival in Chicago . is in line to go through security at the airport when realizes accidentally brought a large knife in bag . : tell the cops,2.8816485,2.818155,-1.2782884,2.9043694,3.8878984,5.146948,5.332253,5.2046866,6.1654263,3.1785755,"[2.881648540496826, 2.81815505027771, -1.2782883644104004, 2.904369354248047, 3.8878984451293945, 5.146947860717773, 5.3322529792785645, 5.204686641693115, 6.165426254272461, 3.1785755157470703]",3.4064696,3.6148837,1,"[ 2.9182034  2.8744428 -1.2976378  2.9497654  3.95611    4.985858
  5.3400335  5.2579894  6.17191    3.2907588]",,let the security know before they search him
9,2659,136,12,He can take it out and explain,pg,1.0,79.3333333333333,Carl is a chef on his way to a food festival in Chicago. He is in line to go through security at the airport when he realizes he accidentally brought a large knife in his bag.,is a chef on way to a food festival in Chicago . is in line to go through security at the airport when realizes accidentally brought a large knife in bag . : can take out and explain,2.799974,3.079459,0.34034345,2.2725432,3.1734376,4.7657075,6.3379445,6.241581,4.920494,2.9229176,"[2.799973964691162, 3.0794589519500732, 0.3403434455394745, 2.27254319190979, 3.1734375953674316, 4.765707492828369, 6.337944507598877, 6.241580963134766, 4.920494079589844, 2.922917604446411]",1.2767881,6.2883196,0,"[3.1083376 2.6358156 0.6102959 2.2031944 3.0370624 4.722591  6.4924016
 6.1804028 4.7090626 3.1327162]",,tell truth
